2.03928,2.43958,72.01000,1.00000,1.00000,3.00000,0.00000
2.05716,2.87347,64.97000,1.00000,1.00000,3.00000,NaN
2.87867,3.07252,72.01000,1.00000,4.00000,12.00000,0.00000
2.88399,3.08035,68.84000,1.00000,4.00000,12.00000,NaN
3.07252,3.30261,71.96000,1.00000,2.00000,3.00000,0.00000
3.08035,3.19274,68.82000,1.00000,2.00000,3.00000,NaN
3.25333,3.58168,64.91000,1.00000,4.00000,6.00000,NaN
3.30261,3.56475,71.99000,1.00000,4.00000,6.00000,1.00000
3.56475,4.11574,72.05000,1.00000,3.00000,3.00000,NaN
3.57092,4.09832,80.90000,1.00000,3.00000,3.00000,NaN
4.10975,4.24925,76.06000,2.00000,1.00000,3.00000,0.00000
4.12037,4.56853,65.00000,2.00000,1.00000,3.00000,NaN
4.23508,4.57433,77.26500,2.00000,1.00000,3.00000,1.00000
4.57304,4.70946,72.03000,2.00000,4.00000,12.00000,0.00000
4.57454,4.71946,81.01000,2.00000,4.00000,12.00000,0.00000
4.70919,4.96710,79.07500,2.00000,2.00000,3.00000,NaN
4.70946,4.99229,72.00000,2.00000,2.00000,3.00000,0.00000
4.96710,5.32519,78.95000,2.00000,8.00000,12.00000,-1.00000
5.00284,5.06776,75.88000,2.00000,8.00000,12.00000,0.00000
5.13069,5.31737,75.89000,2.00000,3.00000,3.00000,NaN
5.32519,5.52054,78.97000,2.00000,6.00000,6.00000,0.00000
5.33069,5.52635,74.07000,2.00000,6.00000,6.00000,NaN
5.52685,5.71211,72.05000,3.00000,1.00000,3.00000,NaN
5.68295,5.76064,67.08000,3.00000,2.00000,6.00000,NaN
5.76842,6.03138,76.03500,3.00000,4.00000,12.00000,NaN
6.00605,6.39209,64.95000,3.00000,2.00000,3.00000,NaN
6.06548,6.11846,76.00000,3.00000,2.00000,3.00000,1.00000
6.39209,6.52240,64.99000,3.00000,3.00000,3.00000,-1.00000
6.39843,6.78023,77.01000,3.00000,3.00000,3.00000,-1.00000
6.45585,6.52481,66.73000,3.00000,3.00000,3.00000,0.00000
6.45858,6.53061,65.79000,3.00000,3.00000,3.00000,NaN
6.52240,6.84408,64.93500,3.00000,3.00000,3.00000,1.00000
6.82577,7.15935,72.06000,4.00000,1.00000,3.00000,NaN
6.84475,7.17497,65.00000,4.00000,1.00000,3.00000,0.00000
7.15935,7.28231,72.06000,4.00000,4.00000,12.00000,0.00000
7.16335,7.29166,68.87000,4.00000,4.00000,12.00000,0.00000
7.28231,7.71392,71.99000,4.00000,2.00000,3.00000,0.00000
7.29166,7.41297,68.88000,4.00000,2.00000,3.00000,NaN
7.43358,7.72063,64.96000,4.00000,4.00000,6.00000,0.00000
7.71392,8.20825,72.06000,4.00000,3.00000,3.00000,0.00000
7.71525,7.76707,82.06500,4.00000,3.00000,3.00000,NaN
7.75714,7.81351,81.01000,4.00000,3.00000,3.00000,1.00000
7.80068,7.85995,82.68000,4.00000,3.00000,3.00000,2.00000
7.84127,7.92381,81.01000,4.00000,3.00000,3.00000,3.00000
8.19921,8.32435,75.94000,5.00000,1.00000,3.00000,NaN
8.21236,8.57977,64.97000,5.00000,1.00000,3.00000,0.00000
8.56601,8.71909,80.97000,5.00000,4.00000,12.00000,0.00000
8.56987,8.71531,72.04000,5.00000,4.00000,12.00000,0.00000
8.71531,8.99193,72.03000,5.00000,2.00000,3.00000,0.00000
8.72050,8.96492,79.07000,5.00000,2.00000,3.00000,NaN
8.96492,9.30540,78.96000,5.00000,8.00000,12.00000,-1.00000
9.00559,9.05578,75.84000,5.00000,8.00000,12.00000,0.00000
9.12432,9.29379,75.91000,5.00000,3.00000,3.00000,NaN
9.30969,9.46213,74.00000,5.00000,6.00000,6.00000,0.00000
9.47297,9.64789,72.06000,6.00000,1.00000,3.00000,NaN
9.64346,9.71766,67.03000,6.00000,2.00000,6.00000,0.00000
9.64625,9.69406,74.11266,6.00000,2.00000,6.00000,0.00000
9.70973,9.90619,76.02000,6.00000,2.00000,6.00000,1.00000
9.71766,9.92653,67.04000,6.00000,2.00000,6.00000,1.00000
9.90619,9.97297,76.04000,6.00000,2.00000,3.00000,-1.00000
9.92967,10.30966,64.94000,6.00000,2.00000,3.00000,NaN
10.28632,10.46059,66.85000,6.00000,3.00000,3.00000,NaN
10.73912,11.04639,72.06500,7.00000,1.00000,3.00000,NaN
10.75555,11.05270,65.00000,7.00000,1.00000,3.00000,0.00000
11.04639,11.57515,72.01000,7.00000,4.00000,12.00000,0.00000
11.05772,11.18075,68.85500,7.00000,4.00000,12.00000,0.00000
11.18075,11.32553,68.86000,7.00000,2.00000,3.00000,NaN
11.32973,11.62159,64.96000,7.00000,4.00000,6.00000,0.00000
11.61020,12.13823,72.01000,7.00000,3.00000,3.00000,0.00000
11.61568,11.67383,82.66000,7.00000,3.00000,3.00000,NaN
11.67122,11.72027,81.26000,7.00000,3.00000,3.00000,1.00000
11.70620,11.76091,82.79000,7.00000,3.00000,3.00000,2.00000
11.75617,12.06277,80.91000,7.00000,3.00000,3.00000,3.00000
12.06708,12.20789,75.93000,8.00000,1.00000,3.00000,NaN
12.06928,12.44590,64.99000,8.00000,1.00000,3.00000,0.00000
12.42021,12.69551,81.00000,8.00000,2.00000,3.00000,NaN
12.42066,12.81030,72.06000,8.00000,2.00000,3.00000,0.00000
12.65085,12.82902,86.11000,8.00000,5.00000,9.00000,0.00000
12.79237,12.96254,83.01000,8.00000,6.00000,9.00000,0.00000
12.81030,13.27020,71.97000,8.00000,6.00000,9.00000,0.00000
